    col1T,col2U,categoria
    18.4,61.599998,caso_otimo
18.4,57.0,lower_optimal
18.200001,56.400002,lower_optimal
18.200001,56.0,lower_optimal
18.0,59.0,caso_otimo
17.799999,57.900002,caso_otimo
17.700001,58.400002,caso_otimo
17.700001,61.099998,caso_otimo
17.700001,61.799999,caso_otimo
17.6,63.5,caso_otimo
17.5,61.400002,caso_otimo
17.5,58.0,caso_otimo
17.5,60.200001,caso_otimo
17.5,57.900002,caso_otimo
17.4,57.5,lower_optimal
17.4,60.299999,caso_otimo
17.4,59.0,caso_otimo
17.5,60.200001,caso_otimo
17.700001,58.099998,caso_otimo
17.9,55.599998,lower_optimal
18.1,56.400002,lower_optimal
18.1,55.099998,lower_optimal
18.1,58.200001,caso_otimo
18.200001,55.900002,lower_optimal
18.200001,55.700001,lower_optimal
18.200001,53.5,lower_optimal
18.1,53.900002,lower_optimal
18.1,59.5,caso_otimo
18.0,57.099998,lower_optimal
18.0,57.700001,caso_otimo
18.1,64.400002,caso_otimo
18.1,61.099998,caso_otimo
18.1,59.900002,caso_otimo
18.1,59.599998,caso_otimo
18.200001,61.799999,caso_otimo
18.200001,62.900002,caso_otimo
18.200001,56.700001,lower_optimal
18.1,56.799999,lower_optimal
18.0,58.099998,caso_otimo
18.0,54.0,lower_optimal
17.9,55.200001,lower_optimal
18.0,53.400002,lower_optimal
18.0,57.299999,lower_optimal
18.0,57.599998,caso_otimo
18.1,57.400002,lower_optimal
18.0,56.400002,lower_optimal
17.9,58.799999,caso_otimo
17.9,59.700001,caso_otimo
17.9,57.900002,caso_otimo
17.9,57.099998,lower_optimal
17.9,56.599998,lower_optimal
17.9,55.599998,lower_optimal
17.9,56.299999,lower_optimal
17.9,58.0,caso_otimo
17.799999,54.799999,lower_optimal
17.799999,54.400002,lower_optimal
17.799999,54.700001,lower_optimal
17.799999,56.200001,lower_optimal
17.9,57.400002,lower_optimal
17.9,59.200001,caso_otimo
17.9,57.799999,caso_otimo
17.799999,55.5,lower_optimal
17.700001,56.400002,lower_optimal
17.700001,58.299999,caso_otimo
17.799999,57.700001,caso_otimo
17.799999,57.700001,caso_otimo
17.9,59.5,caso_otimo
17.9,58.099998,caso_otimo
17.9,58.900002,caso_otimo
18.0,56.099998,lower_optimal
18.0,55.0,lower_optimal
18.0,56.799999,lower_optimal
18.0,60.799999,caso_otimo
18.0,55.099998,lower_optimal
18.0,55.099998,lower_optimal
18.0,54.0,lower_optimal
17.9,57.099998,lower_optimal
17.9,58.5,caso_otimo
17.9,57.799999,caso_otimo
17.9,55.700001,lower_optimal
17.9,55.799999,lower_optimal
17.799999,54.099998,lower_optimal
17.799999,56.400002,lower_optimal
17.9,59.5,caso_otimo
17.9,60.599998,caso_otimo
17.799999,58.700001,caso_otimo
17.700001,57.700001,caso_otimo
17.6,61.599998,caso_otimo
17.5,60.099998,caso_otimo
17.5,61.200001,caso_otimo
17.4,60.299999,caso_otimo
17.4,61.099998,caso_otimo
17.299999,65.400002,caso_otimo
17.299999,67.300003,caso_otimo
17.200001,64.5,caso_otimo
17.200001,63.0,caso_otimo
17.200001,64.800003,caso_otimo
17.1,66.900002,caso_otimo
17.1,63.700001,caso_otimo
17.1,64.900002,caso_otimo
17.0,61.200001,caso_otimo
16.9,63.0,caso_otimo
16.9,59.099998,caso_otimo
16.799999,62.099998,caso_otimo
16.799999,62.0,caso_otimo
16.799999,64.699997,caso_otimo
16.799999,64.300003,caso_otimo
16.799999,60.799999,caso_otimo
16.799999,61.200001,caso_otimo
16.799999,61.5,caso_otimo
16.799999,62.700001,caso_otimo
16.799999,63.5,caso_otimo
16.799999,62.400002,caso_otimo
16.799999,62.700001,caso_otimo
16.799999,62.299999,caso_otimo
16.799999,59.099998,caso_otimo
16.799999,62.099998,caso_otimo
16.700001,58.0,caso_otimo
16.700001,58.599998,caso_otimo
16.700001,59.599998,caso_otimo
16.700001,56.5,lower_optimal
16.700001,57.200001,lower_optimal
16.700001,57.599998,caso_otimo
16.6,60.099998,caso_otimo
16.6,58.200001,caso_otimo
16.5,58.5,caso_otimo
16.5,58.799999,caso_otimo
16.5,58.700001,caso_otimo
16.5,56.5,lower_optimal
16.5,58.299999,caso_otimo
16.5,61.700001,caso_otimo
16.5,60.0,caso_otimo
16.5,61.299999,caso_otimo
16.5,61.799999,caso_otimo
16.5,60.299999,caso_otimo
16.5,59.900002,caso_otimo
16.4,62.299999,caso_otimo
16.4,60.5,caso_otimo
16.4,60.099998,caso_otimo
16.4,62.299999,caso_otimo
16.4,62.700001,caso_otimo
16.4,59.5,caso_otimo
16.4,61.200001,caso_otimo
16.4,60.299999,caso_otimo
16.4,59.900002,caso_otimo
16.5,60.900002,caso_otimo
16.5,64.300003,caso_otimo
16.5,62.599998,caso_otimo
16.6,63.099998,caso_otimo
16.6,63.900002,caso_otimo
16.6,64.300003,caso_otimo
16.6,64.800003,caso_otimo
16.6,65.800003,caso_otimo
16.6,62.200001,caso_otimo
16.6,63.299999,caso_otimo
16.5,63.700001,caso_otimo
16.5,62.599998,caso_otimo
16.4,63.900002,caso_otimo
16.4,64.0,caso_otimo
16.4,63.099998,caso_otimo
16.4,64.400002,caso_otimo
16.4,66.800003,caso_otimo
16.299999,66.800003,caso_otimo
16.299999,66.400002,caso_otimo
16.299999,65.400002,caso_otimo
16.299999,67.800003,caso_otimo
16.299999,65.900002,caso_otimo
16.299999,65.5,caso_otimo
16.299999,65.699997,caso_otimo
16.299999,61.0,caso_otimo
16.200001,64.900002,caso_otimo
16.200001,67.099998,caso_otimo
16.200001,66.900002,caso_otimo
16.200001,63.700001,caso_otimo
16.1,59.799999,caso_otimo
16.200001,63.5,caso_otimo
16.200001,59.799999,caso_otimo
16.299999,62.0,caso_otimo
16.299999,64.599998,caso_otimo
16.4,61.200001,caso_otimo
16.4,61.099998,caso_otimo
16.4,61.700001,caso_otimo
16.4,62.299999,caso_otimo
16.4,60.599998,caso_otimo
16.299999,61.900002,caso_otimo
16.299999,68.900002,caso_otimo
16.1,67.699997,caso_otimo
15.9,68.599998,caso_otimo
15.7,68.5,caso_otimo
15.5,69.400002,lower_optimal
15.5,66.900002,lower_optimal
15.5,67.900002,lower_optimal
15.5,65.5,lower_optimal
15.5,65.0,lower_optimal
15.5,65.199997,lower_optimal
15.5,64.199997,lower_optimal
15.3,65.400002,lower_optimal
15.1,65.900002,lower_optimal
15.0,66.300003,lower_optimal
14.9,65.800003,lower_optimal
14.9,64.5,lower_optimal
14.9,67.0,lower_optimal
15.1,71.900002,lower_optimal
15.2,67.599998,lower_optimal
15.2,66.900002,lower_optimal
15.2,69.300003,lower_optimal
15.2,66.900002,lower_optimal
15.2,70.5,lower_optimal
15.1,67.699997,lower_optimal
15.1,68.0,lower_optimal
15.0,66.699997,lower_optimal
15.0,68.099998,lower_optimal
15.0,67.0,lower_optimal
14.9,66.199997,lower_optimal
14.9,68.0,lower_optimal
14.9,68.300003,lower_optimal
15.0,65.900002,lower_optimal
15.0,68.800003,lower_optimal
15.0,65.699997,lower_optimal
15.0,67.0,lower_optimal
15.0,64.0,lower_optimal
15.0,65.300003,lower_optimal
15.0,66.599998,lower_optimal
15.0,65.699997,lower_optimal
14.9,66.300003,lower_optimal
14.9,67.599998,lower_optimal
14.8,66.5,lower_optimal
14.8,67.099998,lower_optimal
14.8,68.400002,lower_optimal
14.8,66.699997,lower_optimal
14.8,68.599998,lower_optimal
14.8,68.0,lower_optimal
14.8,67.400002,lower_optimal
14.7,68.0,lower_optimal
14.7,66.199997,lower_optimal
14.7,66.5,lower_optimal
14.6,68.699997,lower_optimal
14.6,69.400002,lower_optimal
14.6,67.900002,lower_optimal
14.6,70.199997,lower_optimal
14.6,69.800003,lower_optimal
14.6,69.400002,lower_optimal
14.6,72.199997,lower_optimal
14.6,70.099998,lower_optimal
14.6,70.099998,lower_optimal
14.5,69.699997,lower_optimal
